Kreisname,Dichte
Rathaus,91.1
Hochschulen,11.8
Lindenhof,38.9
City,12.9
Wollishofen,38.1
Leimbach,21.6
Enge,42.3
Alt-Wiedikon,111.7
Friesenberg,21.2
Sihlfeld,129.3
Werd,151.6
Langstrasse,98.8
Hard,92.1
Gewerbeschule,130.5
Escher Wyss,50.7
Unterstrass,103.7
Oberstrass,41.8
Fluntern,31.2
Hottingen,23.0
Hirslanden,35.1
Witikon,24.3
Seefeld,23.9
Muehlebach,100.7
Weinegg,32.7
Albisrieden,52.7
Altstetten,49.5
Hoengg,35.8
Wipkingen,79.7
Affoltern,45.4
Oerlikon,90.5
Seebach,62.2
Saatlen,78.5
Schwamendingen-Mitte,40.8
Hirzenbach,61.6
